value,time
0.0,1674950400000
0.0016,1674954000000
0.001265,1674957600000
0.001665,1674961200000
0.0,1674964800000
0.0,1674968400000
0.0,1674972000000
0.0,1674975600000
0.0,1674979200000
0.0,1674982800000
0.0,1674986400000
0.0,1674990000000
0.0,1674993600000
0.0,1674997200000
0.0,1675000800000
0.0,1675004400000
0.0,1675008000000
0.0,1675011600000
0.0,1675015200000
0.0,1675018800000
0.0,1675022400000
0.0,1675026000000
0.0,1675029600000
0.0,1675033200000
0.0,1675036800000
0.0,1675040400000
0.0,1675044000000
0.0,1675047600000
0.001315,1675051200000
0.0,1675054800000
0.0,1675058400000
0.0,1675062000000
0.0,1675065600000
0.0,1675069200000
0.0,1675072800000
0.0,1675076400000
0.0,1675080000000
0.0,1675083600000
0.0,1675087200000
0.0,1675090800000
0.0,1675094400000
0.0,1675098000000
0.0,1675101600000
0.0,1675105200000
0.0,1675108800000
0.0,1675112400000
0.0,1675116000000
0.0,1675119600000
0.0,1675123200000
0.0,1675126800000
0.0,1675130400000
0.0,1675134000000
0.0,1675137600000
0.0,1675141200000
0.0,1675144800000
0.0,1675148400000
0.0,1675152000000
0.0,1675155600000
0.0,1675159200000
0.0,1675162800000
0.0,1675166400000
0.0,1675170000000
0.0,1675173600000
0.0,1675177200000
0.0,1675180800000
0.0006075,1675184400000
0.00671,1675188000000
0.01049,1675191600000
0.01013,1675195200000
0.011915,1675198800000
0.0074175,1675202400000
0.00829,1675206000000
0.014935,1675209600000
0.0145175,1675213200000
0.01297,1675216800000
0.015115,1675220400000
0.0076875,1675224000000
0.00282,1675227600000
0.0003,1675231200000
0.0,1675234800000
0.0,1675238400000
0.0,1675242000000
0.0,1675245600000
0.0,1675249200000
0.0,1675252800000
0.0,1675256400000
0.0,1675260000000
0.0,1675263600000
0.0,1675267200000
0.0011625,1675270800000
0.0096375,1675274400000
0.0144475,1675278000000
0.0219725,1675281600000
0.0211825,1675285200000
0.0202825,1675288800000
0.0199275,1675292400000
0.0181225,1675296000000
0.0124675,1675299600000
0.0052025,1675303200000
0.00726,1675306800000
0.0034175,1675310400000
0.0037375,1675314000000
0.0007475,1675317600000
0.0,1675321200000
0.0,1675324800000
0.0,1675328400000
0.0,1675332000000
0.0,1675335600000
0.0,1675339200000
0.0,1675342800000
0.000325,1675346400000
0.0006,1675350000000
0.0020375,1675353600000
0.0015825,1675357200000
0.0036,1675360800000
0.005925,1675364400000
0.00579,1675368000000
0.00683,1675371600000
0.00809,1675375200000
0.0103225,1675378800000
0.010255,1675382400000
0.0089375,1675386000000
0.0074475,1675389600000
0.000425,1675393200000
0.00157,1675396800000
0.000285,1675400400000
0.0,1675404000000
0.0,1675407600000
0.0,1675411200000
0.0,1675414800000
0.0,1675418400000
0.0,1675422000000
0.0,1675425600000
0.0,1675429200000
0.0,1675432800000
0.000935,1675436400000
0.00722,1675440000000
0.0135875,1675443600000
0.0144,1675447200000
0.0174125,1675450800000
0.02525,1675454400000
0.029095,1675458000000
0.0278675,1675461600000
0.0272075,1675465200000
0.0220725,1675468800000
0.0168125,1675472400000
0.0168475,1675476000000
0.0159575,1675479600000
0.0108675,1675483200000
0.00541,1675486800000
0.000545,1675490400000
0.0,1675494000000
0.0,1675497600000
0.0,1675501200000
0.0,1675504800000
0.0,1675508400000
0.0,1675512000000
0.0,1675515600000
0.0007025,1675519200000
0.0085625,1675522800000
0.0176875,1675526400000
0.0261675,1675530000000
0.0244325,1675533600000
0.025376666,1675537200000
0.036193333,1675540800000
0.0404925,1675544400000
0.044665,1675548000000
0.053125,1675551600000
0.052985,1675555200000
0.0428625,1675558800000
0.0322,1675562400000
0.023145,1675566000000
0.0089075,1675569600000
0.0034375,1675573200000
0.0,1675576800000
0.0007825,1675580400000
0.0,1675584000000
0.0,1675587600000
0.0,1675591200000
0.0,1675594800000
0.0,1675598400000
0.0,1675602000000
8.5e-05,1675605600000
0.000705,1675609200000
0.004625,1675612800000
0.0151125,1675616400000
0.02733,1675620000000
0.034305,1675623600000
0.04725,1675627200000
0.053335,1675630800000
0.0506375,1675634400000
0.0503775,1675638000000
0.048095,1675641600000
0.0390025,1675645200000
0.032935,1675648800000
0.02845,1675652400000
0.0219225,1675656000000
0.0101925,1675659600000
0.0009225,1675663200000
0.0,1675666800000
0.0,1675670400000
0.0,1675674000000
0.0,1675677600000
0.0,1675681200000
0.0,1675684800000
0.0,1675688400000
0.0,1675692000000
0.0,1675695600000
0.0,1675699200000
0.0,1675702800000
0.0,1675706400000
0.0,1675710000000
0.0,1675713600000
0.0,1675717200000
0.0,1675720800000
0.0,1675724400000
0.0,1675728000000
0.0,1675731600000
0.0,1675735200000
0.0,1675738800000
0.0,1675742400000
0.0,1675746000000
0.0,1675749600000
0.0,1675753200000
0.0,1675756800000
0.0,1675760400000
0.0,1675764000000
0.0,1675767600000
0.0,1675771200000
0.0,1675774800000
0.0,1675778400000
0.0,1675782000000
0.0,1675785600000
0.0,1675789200000
0.0,1675792800000
0.0,1675796400000
0.000135,1675800000000
0.00585,1675803600000
0.0143375,1675807200000
0.0118525,1675810800000
0.0061175,1675814400000
0.0,1675818000000
0.0,1675821600000
0.0,1675825200000
0.0,1675828800000
0.0,1675832400000
0.0,1675836000000
0.0,1675839600000
0.0,1675843200000
0.0,1675846800000
0.0,1675850400000
0.0,1675854000000
0.0,1675857600000
0.0,1675861200000
0.0,1675864800000
0.0,1675868400000
0.0,1675872000000
0.0,1675875600000
0.0,1675879200000
0.0,1675882800000
0.0,1675886400000
0.0,1675890000000
0.0,1675893600000
0.0,1675897200000
0.0,1675900800000
0.0008575,1675904400000
0.0062075,1675908000000
0.00642,1675911600000
0.005815,1675915200000
0.0,1675918800000
0.0,1675922400000
0.0,1675926000000
0.0,1675929600000
0.0,1675933200000
0.0,1675936800000
0.0,1675940400000
0.0,1675944000000
0.0,1675947600000
0.0,1675951200000
0.0,1675954800000
0.0,1675958400000
0.0,1675962000000
0.0,1675965600000
0.0,1675969200000
0.0,1675972800000
0.0,1675976400000
0.0,1675980000000
0.0,1675983600000
0.0,1675987200000
0.0,1675990800000
1.85351,1675994400000
2.179445,1675998000000
1.0734425,1676001600000
1.0932125,1676005200000
1.1984725,1676008800000
1.1162425,1676012400000
1.00674,1676016000000
0.9365,1676019600000
0.89227,1676023200000
0.790425,1676026800000
0.73749,1676030400000
0.7032575,1676034000000
0.6322925,1676037600000
0.58763,1676041200000
0.514245,1676044800000
0.462635,1676048400000
0.42074,1676052000000
0.3771625,1676055600000
0.3425575,1676059200000
0.3044925,1676062800000
0.24917,1676066400000
0.2228925,1676070000000
0.212725,1676073600000
0.1814125,1676077200000
0.159095,1676080800000
0.1313025,1676084400000
0.10942,1676088000000
0.0849175,1676091600000
0.04743,1676095200000
0.018605,1676098800000
0.0,1676102400000
0.0,1676106000000
0.0,1676109600000
0.0,1676113200000
0.0,1676116800000
0.0,1676120400000
0.0,1676124000000
0.0,1676127600000
0.0,1676131200000
0.0,1676134800000
0.0,1676138400000
0.0,1676142000000
0.0,1676145600000
0.0,1676149200000
0.0,1676152800000
0.0,1676156400000
0.0,1676160000000
0.0,1676163600000
0.0,1676167200000
0.0,1676170800000
0.0,1676174400000
0.0,1676178000000
0.0,1676181600000
0.0,1676185200000
0.0,1676188800000
0.0,1676192400000
0.0,1676196000000
0.0,1676199600000
0.0,1676203200000
0.0,1676206800000
0.0,1676210400000
0.0,1676214000000
0.0,1676217600000
0.0,1676221200000
0.0,1676224800000
0.0,1676228400000
0.0,1676232000000
0.0,1676235600000
0.0,1676239200000
0.0,1676242800000
0.0,1676246400000
0.0,1676250000000
0.0,1676253600000
0.001935,1676257200000
0.0041625,1676260800000
0.0006,1676264400000
0.0,1676268000000
